district,date,epi_week,reporting_year,suspected_cases,rdt_confirmations
Mambwe,2021-01-01,1,2021,0,332
Mambwe,2022-01-01,1,2022,0,141
Mambwe,2023-01-01,1,2023,0,329
Mambwe,2024-01-01,1,2024,0,402
Mambwe,2025-01-01,1,2025,0,544
Mansa,2021-01-01,1,2021,0,708
Mansa,2022-01-01,1,2022,0,738
Mansa,2023-01-01,1,2023,0,993
Mansa,2024-01-01,1,2024,0,765
Mansa,2025-01-01,1,2025,0,740
Manyinga,2021-01-01,1,2021,0,1018
Manyinga,2022-01-01,1,2022,0,1218
Manyinga,2023-01-01,1,2023,0,1307
Manyinga,2024-01-01,1,2024,0,1051
Manyinga,2025-01-01,1,2025,0,1235
Masaiti,2021-01-01,1,2021,0,766
Masaiti,2022-01-01,1,2022,0,717
Masaiti,2023-01-01,1,2023,0,1006
Masaiti,2024-01-01,1,2024,0,754
Masaiti,2025-01-01,1,2025,0,690
Mazabuka,2021-01-01,1,2021,0,6
Mazabuka,2022-01-01,1,2022,0,4
Mazabuka,2023-01-01,1,2023,0,6
Mazabuka,2024-01-01,1,2024,0,4
Mazabuka,2025-01-01,1,2025,0,6
Mbala,2021-01-01,1,2021,0,256
Mbala,2022-01-01,1,2022,0,344
Mbala,2023-01-01,1,2023,0,380
Mbala,2024-01-01,1,2024,0,352
Mbala,2025-01-01,1,2025,0,290
Milenge,2021-01-01,1,2021,0,741
Milenge,2022-01-01,1,2022,0,999
Milenge,2023-01-01,1,2023,0,1248
Milenge,2024-01-01,1,2024,0,980
Milenge,2025-01-01,1,2025,0,833
Mitete,2021-01-01,1,2021,0,634
Mitete,2022-01-01,1,2022,0,799
Mitete,2023-01-01,1,2023,0,961
Mitete,2024-01-01,1,2024,0,594
Mitete,2025-01-01,1,2025,0,742
Mkushi,2021-01-01,1,2021,0,480
Mkushi,2022-01-01,1,2022,0,379
Mkushi,2023-01-01,1,2023,0,508
Mkushi,2024-01-01,1,2024,0,334
Mkushi,2025-01-01,1,2025,0,344
Mongu,2021-01-01,1,2021,0,439
Mongu,2022-01-01,1,2022,0,360
Mongu,2023-01-01,1,2023,0,454
Mongu,2024-01-01,1,2024,0,252
Mongu,2025-01-01,1,2025,0,475
Monze,2021-01-01,1,2021,0,5
Monze,2022-01-01,1,2022,0,4
Monze,2023-01-01,1,2023,0,5
Monze,2024-01-01,1,2024,0,4
Monze,2025-01-01,1,2025,0,6
Mpika,2021-01-01,1,2021,0,495
Mpika,2022-01-01,1,2022,0,346
Mpika,2023-01-01,1,2023,0,501
Mpika,2024-01-01,1,2024,0,402
Mpika,2025-01-01,1,2025,0,356
Mpongwe,2021-01-01,1,2021,0,872
Mpongwe,2022-01-01,1,2022,0,730
Mpongwe,2023-01-01,1,2023,0,1052
Mpongwe,2024-01-01,1,2024,0,791
Mpongwe,2025-01-01,1,2025,0,962
Mporokoso,2021-01-01,1,2021,0,452
Mporokoso,2022-01-01,1,2022,0,429
Mporokoso,2023-01-01,1,2023,0,330
Mporokoso,2024-01-01,1,2024,0,174
Mporokoso,2025-01-01,1,2025,0,131
Mpulungu,2021-01-01,1,2021,0,490
Mpulungu,2022-01-01,1,2022,0,394
Mpulungu,2023-01-01,1,2023,0,468
Mpulungu,2024-01-01,1,2024,0,410
Mpulungu,2025-01-01,1,2025,0,369
Mufulira,2021-01-01,1,2021,0,358
